@relation dataset2

@attribute neighbourhood numeric
@attribute price numeric
@attribute minimum_nights numeric
@attribute availability_365 numeric
@attribute room_type {'Private room','Entire home/apt','Shared room'}

@data
4,30,1,353,'Private room'
4,38,2,61,'Private room'
4,45,3,126,'Entire home/apt'
4,30,1,116,'Private room'
4,23,1,359,'Private room'
4,50,1,145,'Private room'
4,42,2,105,'Private room'
4,59,3,0,'Entire home/apt'
4,99,4,262,'Entire home/apt'
4,25,7,331,'Private room'
4,60,1,0,'Private room'
4,250,5,287,'Entire home/apt'
4,40,3,362,'Private room'
4,73,2,67,'Entire home/apt'
4,85,1,180,'Private room'
4,19,1,364,'Private room'
4,85,2,365,'Entire home/apt'
4,15,1,88,'Private room'
4,50,1,0,'Private room'
4,150,5,40,'Entire home/apt'
4,35,1,363,'Private room'
4,99,1,352,'Entire home/apt'
4,180,2,163,'Entire home/apt'
4,85,3,0,'Entire home/apt'
4,65,2,285,'Entire home/apt'
4,24,1,6,'Private room'
4,80,1,6,'Private room'
4,85,2,63,'Entire home/apt'
4,69,1,0,'Entire home/apt'
4,70,1,365,'Entire home/apt'
4,150,2,12,'Entire home/apt'
4,121,3,32,'Entire home/apt'
4,100,7,90,'Entire home/apt'
4,249,7,365,'Entire home/apt'
4,58,1,82,'Entire home/apt'
4,60,5,85,'Entire home/apt'
4,90,1,71,'Entire home/apt'
4,65,2,365,'Private room'
4,40,4,0,'Private room'
4,50,1,278,'Private room'
4,325,2,73,'Entire home/apt'
4,100,5,0,'Entire home/apt'
4,390,3,0,'Entire home/apt'
4,70,1,93,'Private room'
4,25,1,285,'Private room'
4,35,1,235,'Private room'
4,150,3,0,'Entire home/apt'
4,40,1,94,'Private room'
4,40,1,180,'Private room'
4,25,7,292,'Private room'
4,122,4,180,'Entire home/apt'
4,35,1,75,'Private room'
4,39,1,363,'Private room'
4,30,2,364,'Private room'
4,60,2,362,'Private room'
4,84,1,0,'Entire home/apt'
4,30,1,177,'Private room'
4,45,1,364,'Private room'
4,50,1,315,'Private room'
4,25,2,342,'Private room'
4,220,3,222,'Entire home/apt'
4,60,1,0,'Private room'
4,60,1,48,'Private room'
4,83,3,194,'Entire home/apt'
4,40,1,365,'Private room'
4,25,7,0,'Private room'
4,96,3,0,'Entire home/apt'
4,33,1,178,'Private room'
4,74,2,22,'Entire home/apt'
4,94,3,243,'Entire home/apt'
4,125,1,173,'Private room'
4,85,1,365,'Private room'
4,50,2,342,'Private room'
4,90,14,0,'Entire home/apt'
4,45,1,63,'Private room'
4,45,1,180,'Private room'
4,35,1,172,'Private room'
4,150,1,86,'Entire home/apt'
4,37,2,364,'Private room'
4,100,3,163,'Entire home/apt'
4,185,4,246,'Entire home/apt'
4,30,1,355,'Private room'
4,59,3,0,'Entire home/apt'
4,60,1,365,'Private room'
4,77,4,0,'Entire home/apt'
4,33,1,0,'Private room'
4,117,3,4,'Entire home/apt'
4,78,4,162,'Entire home/apt'
4,45,2,345,'Private room'
4,35,2,317,'Private room'
4,290,2,68,'Entire home/apt'
4,60,1,61,'Private room'
4,250,14,363,'Entire home/apt'
4,19,1,364,'Private room'
4,39,1,364,'Private room'
4,115,1,304,'Entire home/apt'
4,71,3,39,'Entire home/apt'
4,26,1,359,'Private room'
4,130,5,0,'Entire home/apt'
4,35,2,79,'Entire home/apt'
4,32,1,180,'Private room'
4,35,2,354,'Private room'
4,58,2,59,'Private room'
4,80,1,365,'Private room'
4,35,2,180,'Private room'
4,60,1,110,'Private room'
4,44,1,358,'Private room'
4,30,1,359,'Private room'
4,99,3,214,'Entire home/apt'
4,52,1,364,'Private room'
4,18,2,307,'Private room'
4,45,2,266,'Private room'
4,65,1,179,'Private room'
1,120,1,286,'Entire home/apt'
1,71,1,0,'Entire home/apt'
1,135,1,351,'Entire home/apt'
1,35,1,357,'Private room'
1,100,2,364,'Entire home/apt'
1,75,3,304,'Entire home/apt'
1,50,2,178,'Entire home/apt'
1,33,1,280,'Private room'
1,39,1,179,'Private room'
1,30,1,320,'Private room'
1,24,3,89,'Private room'
1,49,1,29,'Private room'
1,23,1,21,'Private room'
1,96,4,365,'Entire home/apt'
1,55,1,90,'Private room'
1,120,1,356,'Entire home/apt'
1,51,2,168,'Entire home/apt'
1,58,1,90,'Private room'
1,24,1,365,'Private room'
1,33,1,349,'Private room'
1,29,1,364,'Private room'
1,43,2,349,'Private room'
1,45,1,163,'Private room'
1,25,3,91,'Private room'
1,28,1,256,'Private room'
1,73,4,365,'Entire home/apt'
1,40,2,180,'Private room'
1,70,1,318,'Entire home/apt'
1,30,1,176,'Shared room'
1,60,1,365,'Private room'
1,36,7,358,'Private room'
1,49,1,365,'Private room'
1,61,1,365,'Private room'
1,20,3,360,'Private room'
1,30,1,176,'Private room'
1,35,1,363,'Private room'
1,24,3,89,'Private room'
1,36,4,363,'Private room'
1,24,14,89,'Private room'
1,45,1,365,'Private room'
1,20,1,364,'Private room'
1,35,1,365,'Private room'
1,22,1,15,'Private room'
1,25,2,227,'Private room'
1,22,2,322,'Private room'
1,60,14,28,'Entire home/apt'
1,107,1,333,'Entire home/apt'
1,44,3,1,'Entire home/apt'
1,20,1,0,'Private room'
1,140,2,29,'Entire home/apt'
1,19,1,100,'Private room'
1,55,1,0,'Entire home/apt'
1,43,1,357,'Entire home/apt'
1,25,2,291,'Private room'
1,40,1,365,'Private room'
1,29,3,90,'Private room'
1,27,7,196,'Private room'
1,100,5,0,'Entire home/apt'
1,35,1,168,'Private room'
1,95,2,173,'Entire home/apt'
1,37,1,365,'Private room'
1,177,1,38,'Entire home/apt'
1,120,3,319,'Entire home/apt'
1,23,1,180,'Private room'
1,29,1,353,'Private room'
1,42,3,0,'Entire home/apt'
1,20,6,272,'Private room'
1,120,1,362,'Entire home/apt'
1,100,3,254,'Entire home/apt'
1,33,1,18,'Private room'
1,48,2,186,'Entire home/apt'
1,23,7,299,'Private room'
1,42,1,174,'Private room'
1,35,1,54,'Private room'
1,40,1,364,'Private room'
1,50,1,89,'Private room'
1,55,1,365,'Private room'
1,42,1,16,'Entire home/apt'
1,37,1,363,'Private room'
1,25,2,356,'Private room'
1,300,3,364,'Entire home/apt'
1,29,2,126,'Private room'
1,115,3,365,'Private room'
1,30,1,61,'Private room'
1,25,1,364,'Private room'
1,90,3,87,'Entire home/apt'
1,60,5,0,'Entire home/apt'
1,180,2,337,'Entire home/apt'
1,45,1,336,'Private room'
1,25,1,360,'Private room'
1,30,1,86,'Private room'
1,71,1,0,'Entire home/apt'
1,65,3,40,'Entire home/apt'
1,25,2,271,'Private room'
1,130,5,179,'Entire home/apt'
1,35,1,364,'Private room'
1,74,3,38,'Entire home/apt'
1,35,1,365,'Private room'
1,25,1,362,'Private room'
1,50,1,365,'Private room'
1,26,1,292,'Private room'
1,58,1,365,'Private room'
1,75,3,62,'Entire home/apt'
1,50,1,365,'Private room'
1,27,2,55,'Private room'
1,28,3,89,'Private room'
1,30,5,365,'Private room'
1,21,1,168,'Private room'
1,135,2,242,'Entire home/apt'
1,30,1,179,'Private room'
1,130,3,13,'Entire home/apt'
1,25,2,86,'Private room'
1,92,2,121,'Entire home/apt'
1,40,2,307,'Private room'
1,50,1,365,'Private room'
1,90,3,90,'Entire home/apt'
1,75,3,71,'Entire home/apt'
1,60,5,176,'Entire home/apt'
1,25,1,0,'Private room'
1,40,1,0,'Private room'
1,50,2,365,'Private room'
1,350,3,131,'Entire home/apt'
1,31,1,88,'Private room'
1,28,2,0,'Private room'
1,60,1,33,'Private room'
1,31,1,239,'Private room'
1,60,1,0,'Entire home/apt'
1,100,2,311,'Entire home/apt'
1,33,1,249,'Private room'
1,25,1,364,'Private room'
1,75,4,271,'Entire home/apt'
1,60,3,25,'Private room'
1,28,1,365,'Private room'
1,20,1,77,'Private room'
1,35,1,90,'Private room'
1,75,2,0,'Entire home/apt'
1,45,1,363,'Private room'
1,40,1,365,'Private room'
1,60,1,365,'Private room'
1,28,1,180,'Private room'
1,70,1,287,'Entire home/apt'
1,18,1,323,'Private room'
1,51,2,333,'Private room'
1,60,1,89,'Private room'
1,30,1,365,'Private room'
1,60,4,182,'Entire home/apt'
1,25,2,251,'Private room'
1,25,7,342,'Private room'
1,55,3,363,'Private room'
1,65,5,199,'Entire home/apt'
1,35,1,89,'Private room'
1,25,1,0,'Private room'
1,50,1,179,'Private room'
1,26,1,296,'Private room'
1,48,5,300,'Entire home/apt'
1,95,3,277,'Private room'
1,60,3,0,'Entire home/apt'
1,20,2,64,'Private room'
1,31,7,179,'Private room'
1,48,1,310,'Private room'
1,85,2,45,'Entire home/apt'
1,19,7,358,'Private room'
1,25,1,90,'Private room'
1,25,1,37,'Private room'
1,29,1,342,'Private room'
1,31,2,0,'Private room'
1,75,2,65,'Entire home/apt'
1,18,70,82,'Private room'
1,42,2,0,'Entire home/apt'
1,75,1,60,'Entire home/apt'
1,20,2,43,'Private room'
1,85,60,7,'Entire home/apt'
1,20,1,162,'Private room'
1,57,1,365,'Private room'
1,65,1,352,'Entire home/apt'
1,30,1,365,'Private room'
1,22,3,363,'Private room'
1,26,1,21,'Private room'
1,21,1,91,'Private room'
1,40,1,365,'Private room'
1,45,1,185,'Private room'
1,55,3,63,'Entire home/apt'
1,21,2,61,'Private room'
1,100,1,365,'Private room'
1,35,1,332,'Private room'
1,69,1,358,'Entire home/apt'
1,109,2,11,'Entire home/apt'
1,39,1,348,'Entire home/apt'
1,28,1,325,'Private room'
1,40,1,247,'Entire home/apt'
1,32,1,272,'Private room'
1,38,1,358,'Private room'
1,35,2,360,'Private room'
1,135,3,89,'Entire home/apt'
1,35,3,365,'Private room'
1,37,1,365,'Private room'
1,95,3,314,'Private room'
1,27,1,0,'Private room'
1,50,1,365,'Private room'
1,30,1,365,'Private room'
1,25,2,322,'Private room'
1,65,1,89,'Entire home/apt'
1,99,1,179,'Entire home/apt'
1,38,1,365,'Private room'
1,30,1,365,'Private room'
1,35,1,363,'Private room'
1,120,3,137,'Entire home/apt'
1,80,3,297,'Entire home/apt'
1,73,1,365,'Private room'
1,75,1,90,'Entire home/apt'
1,38,2,344,'Private room'
1,77,5,5,'Entire home/apt'
1,25,2,34,'Private room'
1,22,1,364,'Private room'
1,25,30,69,'Private room'
1,18,1,364,'Private room'
1,45,1,173,'Private room'
1,60,1,180,'Private room'
1,40,1,364,'Private room'
1,25,1,282,'Private room'
1,120,4,215,'Entire home/apt'
1,60,1,0,'Private room'
1,48,1,365,'Private room'
1,20,14,0,'Private room'
1,27,2,89,'Private room'
1,33,2,87,'Private room'
1,40,10,353,'Entire home/apt'
1,23,1,364,'Private room'
1,85,3,89,'Private room'
1,35,1,328,'Private room'
1,20,1,204,'Private room'
1,30,1,100,'Private room'
1,40,2,180,'Private room'
1,50,1,365,'Private room'
1,44,1,365,'Private room'
1,23,1,109,'Private room'
1,45,1,41,'Shared room'
1,78,2,100,'Entire home/apt'
1,95,7,0,'Entire home/apt'
1,100,2,63,'Entire home/apt'
1,30,1,153,'Private room'
1,30,1,180,'Private room'
1,39,1,364,'Private room'
1,25,1,365,'Private room'
1,250,2,354,'Private room'
1,18,5,174,'Private room'
