price,minimum_nights,availability_365,neighbourhood,room_type
71,1,0,1,2
135,1,351,1,2
35,1,357,1,1
100,2,364,1,2
75,3,304,1,2
50,2,178,1,2
33,1,280,1,1
39,1,179,1,1
30,1,320,1,1
24,3,89,1,1
49,1,29,1,1
23,1,21,1,1
96,4,365,1,2
55,1,90,1,1
120,1,356,1,2
51,2,168,1,2
58,1,90,1,1
24,1,365,1,1
33,1,349,1,1
29,1,364,1,1
43,2,349,1,1
45,1,163,1,1
25,3,91,1,1
28,1,256,1,1
73,4,365,1,2
40,2,180,1,1
70,1,318,1,2
30,1,176,1,3
60,1,365,1,1
36,7,358,1,1
49,1,365,1,1
61,1,365,1,1
20,3,360,1,1
30,1,176,1,1
35,1,363,1,1
24,3,89,1,1
36,4,363,1,1
24,14,89,1,1
45,1,365,1,1
20,1,364,1,1
35,1,365,1,1
22,1,15,1,1
25,2,227,1,1
22,2,322,1,1
60,14,28,1,2
107,1,333,1,2
44,3,1,1,2
20,1,0,1,1
140,2,29,1,2
19,1,100,1,1
55,1,0,1,2
43,1,357,1,2
25,2,291,1,1
40,1,365,1,1
29,3,90,1,1
27,7,196,1,1
100,5,0,1,2
35,1,168,1,1
95,2,173,1,2
37,1,365,1,1
177,1,38,1,2
120,3,319,1,2
23,1,180,1,1
29,1,353,1,1
42,3,0,1,2
20,6,272,1,1
120,1,362,1,2
100,3,254,1,2
33,1,18,1,1
48,2,186,1,2
23,7,299,1,1
42,1,174,1,1
35,1,54,1,1
40,1,364,1,1
50,1,89,1,1
55,1,365,1,1
42,1,16,1,2
37,1,363,1,1
25,2,356,1,1
300,3,364,1,2
29,2,126,1,1
115,3,365,1,1
30,1,61,1,1
25,1,364,1,1
90,3,87,1,2
60,5,0,1,2
180,2,337,1,2
45,1,336,1,1
25,1,360,1,1
30,1,86,1,1
71,1,0,1,2
65,3,40,1,2
25,2,271,1,1
130,5,179,1,2
35,1,364,1,1
74,3,38,1,2
35,1,365,1,1
25,1,362,1,1
50,1,365,1,1
26,1,292,1,1
58,1,365,1,1
75,3,62,1,2
50,1,365,1,1
27,2,55,1,1
28,3,89,1,1
30,5,365,1,1
21,1,168,1,1
135,2,242,1,2
30,1,179,1,1
130,3,13,1,2
25,2,86,1,1
92,2,121,1,2
40,2,307,1,1
50,1,365,1,1
90,3,90,1,2
75,3,71,1,2
60,5,176,1,2
25,1,0,1,1
40,1,0,1,1
50,2,365,1,1
350,3,131,1,2
31,1,88,1,1
28,2,0,1,1
60,1,33,1,1
31,1,239,1,1
60,1,0,1,2
100,2,311,1,2
33,1,249,1,1
25,1,364,1,1
75,4,271,1,2
60,3,25,1,1
28,1,365,1,1
20,1,77,1,1
35,1,90,1,1
75,2,0,1,2
45,1,363,1,1
40,1,365,1,1
60,1,365,1,1
28,1,180,1,1
70,1,287,1,2
18,1,323,1,1
51,2,333,1,1
60,1,89,1,1
30,1,365,1,1
60,4,182,1,2
25,2,251,1,1
25,7,342,1,1
55,3,363,1,1
65,5,199,1,2
35,1,89,1,1
25,1,0,1,1
50,1,179,1,1
26,1,296,1,1
48,5,300,1,2
95,3,277,1,1
60,3,0,1,2
20,2,64,1,1
31,7,179,1,1
48,1,310,1,1
85,2,45,1,2
19,7,358,1,1
25,1,90,1,1
25,1,37,1,1
29,1,342,1,1
31,2,0,1,1
75,2,65,1,2
18,70,82,1,1
42,2,0,1,2
75,1,60,1,2
20,2,43,1,1
85,60,7,1,2
20,1,162,1,1
57,1,365,1,1
65,1,352,1,2
30,1,365,1,1
22,3,363,1,1
26,1,21,1,1
21,1,91,1,1
40,1,365,1,1
45,1,185,1,1
55,3,63,1,2
21,2,61,1,1
100,1,365,1,1
35,1,332,1,1
69,1,358,1,2
109,2,11,1,2
39,1,348,1,2
28,1,325,1,1
40,1,247,1,2
32,1,272,1,1
38,1,358,1,1
35,2,360,1,1
135,3,89,1,2
35,3,365,1,1
37,1,365,1,1
95,3,314,1,1
27,1,0,1,1
50,1,365,1,1
30,1,365,1,1
25,2,322,1,1
65,1,89,1,2
99,1,179,1,2
38,1,365,1,1
30,1,365,1,1
35,1,363,1,1
120,3,137,1,2
80,3,297,1,2
73,1,365,1,1
75,1,90,1,2
38,2,344,1,1
77,5,5,1,2
25,2,34,1,1
22,1,364,1,1
25,30,69,1,1
18,1,364,1,1
45,1,173,1,1
60,1,180,1,1
40,1,364,1,1
25,1,282,1,1
120,4,215,1,2
60,1,0,1,1
48,1,365,1,1
20,14,0,1,1
27,2,89,1,1
33,2,87,1,1
40,10,353,1,2
23,1,364,1,1
85,3,89,1,1
35,1,328,1,1
20,1,204,1,1
30,1,100,1,1
40,2,180,1,1
50,1,365,1,1
44,1,365,1,1
23,1,109,1,1
45,1,41,1,3
78,2,100,1,2
95,7,0,1,2
100,2,63,1,2
30,1,153,1,1
30,1,180,1,1
39,1,364,1,1
25,1,365,1,1
250,2,354,1,1
18,5,174,1,1
32,1,365,1,1
100,1,0,1,1
50,2,365,1,1
20,7,180,1,1
30,1,365,1,1
50,1,300,1,1
18,1,269,1,1
55,1,125,1,2
38,1,89,1,1
60,1,361,1,1
45,2,363,1,1
50,1,88,1,1
29,1,90,1,1
30,2,174,1,1
95,2,82,1,2
38,5,58,1,2
35,1,365,1,1
29,7,362,1,1
20,1,88,1,3
200,1,365,1,2
45,14,33,1,1
36,5,108,1,2
21,1,365,1,1
32,1,343,1,1
35,2,67,1,2
62,1,313,1,2
29,2,74,1,1
30,3,90,1,1
78,1,0,1,1
45,2,83,1,1
50,4,0,1,2
18,1,82,1,1
24,7,3,1,1
20,1,330,1,1
75,2,365,1,2
105,1,351,1,2
65,2,42,1,2
25,1,259,1,1
26,3,89,1,1
30,1,270,1,2
65,1,365,1,1
61,1,365,1,1
47,1,0,1,1
25,1,64,1,1
21,2,90,1,1
32,4,214,1,1
25,1,0,1,1
25,1,365,1,1
50,1,365,1,1
22,2,78,1,1
30,1,177,1,1
65,3,359,1,2
50,1,0,1,2
28,2,72,1,1
52,2,86,1,2
45,1,98,1,1
95,3,294,1,1
38,2,89,1,1
55,2,365,1,1
30,1,365,1,1
28,7,83,1,1
32,7,358,1,1
50,1,365,1,1
42,2,364,1,1
31,1,0,1,2
29,7,223,1,1
40,1,101,1,1
30,1,341,1,1
48,1,365,1,1
62,1,365,1,1
119,3,295,1,2
25,1,364,1,1
39,1,90,1,1
39,1,365,1,1
100,3,0,1,2
49,1,365,1,1
32,1,365,1,1
27,1,362,1,1
30,2,74,1,1
40,1,365,1,1
24,1,267,1,1
19,7,180,1,1
20,4,346,1,1
50,4,276,1,2
26,6,58,1,1
45,1,0,1,1
22,1,169,1,1
55,2,365,1,1
70,1,365,1,1
100,1,0,1,2
85,1,0,1,2
45,1,345,1,1
39,7,338,1,1
35,1,365,1,1
95,1,163,1,2
110,1,365,1,2
30,2,25,1,1
71,3,360,1,2
100,2,170,1,2
45,4,44,1,2
75,1,365,1,1
30,2,364,1,1
31,5,184,1,1
35,1,362,1,1
70,1,194,1,2
45,1,8,1,2
29,1,364,1,1
16,2,89,1,1
18,1,70,1,1
38,2,338,1,1
85,3,207,1,2
49,3,62,1,2
80,1,365,1,1
56,1,169,1,1
100,1,0,1,2
32,1,365,1,1
90,14,0,1,2
30,1,364,1,1
30,1,365,1,1
30,1,364,1,1
130,2,90,1,2
36,5,155,1,2
30,1,364,1,1
22,1,89,1,1
26,4,75,1,1
25,1,0,1,1
175,3,269,1,2
16,3,196,1,1
55,1,365,1,2
80,1,313,1,2
85,2,0,1,2
25,1,81,1,1
26,1,365,1,1
75,5,19,1,2
100,5,364,1,1
100,3,178,1,2
70,1,286,1,2
23,1,0,1,1
28,5,62,1,2
35,1,0,1,1
150,2,20,1,2
60,3,0,1,2
90,3,323,1,2
164,7,0,1,2
24,1,350,1,1
105,5,0,1,2
25,1,90,1,1
50,1,365,1,1
18,1,181,1,1
100,1,178,1,2
40,1,364,1,1
23,1,71,1,1
25,6,181,1,1
110,2,66,1,2
45,1,364,1,1
55,3,365,1,1
35,1,325,1,1
99,3,216,1,1
29,1,365,1,1
55,1,89,1,1
28,1,299,1,1
50,1,365,1,1
35,3,365,1,1
50,1,31,1,1
35,1,90,1,1
35,1,179,1,1
65,1,61,1,2
99,3,161,1,2
49,1,355,1,2
20,1,84,1,1
70,1,307,1,2
24,1,0,1,1
39,5,356,1,1
35,10,365,1,1
40,1,0,1,2
80,2,359,1,2
35,1,363,1,1
43,2,62,1,2
60,3,365,1,2
39,2,91,1,1
28,1,335,1,1
23,1,180,1,1
32,1,364,1,1
95,2,365,1,2
25,1,363,1,1
25,1,47,1,1
25,1,339,1,1
60,14,0,1,2
150,5,86,1,2
27,21,178,1,1
45,1,365,1,1
75,3,346,1,2
29,3,365,1,1
79,7,90,1,1
67,2,0,1,2
42,1,161,1,2
50,1,365,1,1
95,3,271,1,2
59,3,319,1,2
18,2,230,1,1
65,4,365,1,2
300,3,167,1,2
30,1,17,1,1
60,3,365,1,1
28,2,75,1,1
70,2,278,1,2
55,1,180,1,1
80,2,73,1,2
95,2,62,1,2
35,2,359,1,1
68,1,334,1,2
29,1,225,1,1
21,1,365,1,1
85,5,89,1,2
50,1,362,1,1
40,1,42,1,2
60,5,173,1,2
68,2,90,1,1
30,6,272,1,1
15,1,294,1,1
40,5,0,1,2
30,3,365,1,1
20,4,337,1,1
30,1,365,1,1
80,2,88,1,2
16,1,360,1,1
75,1,365,1,2
39,2,365,1,1
90,1,0,1,2
45,1,90,1,1
20,3,364,1,1
25,1,57,1,1
28,1,90,1,1
27,7,358,1,1
14,3,89,1,1
40,1,365,1,1
40,1,356,1,1
55,1,362,1,1
20,1,276,1,1
25,1,89,1,1
35,1,364,1,1
48,5,109,1,2
56,1,365,1,1
40,2,365,1,1
28,1,70,1,1
35,3,297,1,1
40,1,0,1,1
28,1,170,1,1
29,2,75,1,1
35,2,365,1,1
65,2,365,1,1
36,3,3,1,2
47,5,126,1,2
50,1,90,1,1
69,2,363,1,2
25,1,364,1,1
405,3,271,1,2
27,2,160,1,1
35,2,18,1,1
60,1,365,1,1
90,1,365,1,1
34,7,358,1,1
35,2,271,1,1
125,3,0,1,2
50,3,0,1,1
32,5,181,1,1
50,2,356,1,1
25,1,365,1,1
30,1,0,1,1
70,1,141,1,2
52,3,301,1,2
150,2,21,1,2
33,1,90,1,1
65,3,147,1,1
100,1,175,1,2
35,7,358,1,1
29,2,365,1,1
65,2,62,1,2
45,1,180,1,1
8,1,365,1,1
70,2,89,1,1
20,1,365,1,1
30,1,180,1,1
40,1,365,1,1
72,2,38,1,2
25,2,88,1,1
48,2,316,1,2
35,1,365,1,1
25,2,88,1,1
70,1,47,1,1
45,1,365,1,1
25,1,0,1,1
40,3,364,1,1
60,4,0,1,2
35,1,48,1,1
25,7,90,1,1
25,1,306,1,1
35,1,365,1,1
91,1,318,1,1
74,1,365,1,1
25,1,351,1,1
35,1,365,1,3
30,1,159,1,1
60,1,26,1,2
39,1,0,1,1
80,1,365,1,1
22,1,250,27,1
25,1,20,27,1
30,1,360,27,1
39,1,0,27,1
20,14,0,27,1
30,1,88,27,1
34,2,88,27,1
50,1,365,27,1
42,1,364,27,1
30,3,362,27,1
70,2,363,27,1
35,2,363,27,1
25,3,365,27,1
90,2,132,27,2
50,3,278,27,1
50,1,365,27,1
60,1,365,27,1
128,7,365,27,2
28,1,336,27,1
80,5,1,27,2
70,3,365,27,1
50,1,365,27,1
150,7,97,27,2
28,1,263,27,1
31,4,365,27,1
40,1,0,27,1
60,1,365,27,1
90,1,365,27,1
75,3,365,27,1
65,2,0,27,2
60,1,365,27,2
150,2,0,27,2
20,5,216,27,1
59,2,364,27,2
150,3,272,27,2
40,5,21,27,2
45,2,86,27,1
25,1,361,27,1
169,3,283,27,2
110,2,342,27,2
40,5,51,27,2
27,4,365,27,1
50,2,26,27,2
48,1,354,27,1
60,2,338,27,2
45,1,362,27,1
36,1,357,27,1
16,1,0,27,1
55,1,0,27,1
49,2,88,27,1
40,3,365,27,1
88,5,180,27,2
80,1,365,27,2
129,5,365,27,2
38,7,364,27,1
27,2,89,27,1
22,1,363,27,1
29,2,83,27,1
32,1,193,27,1
150,3,365,27,2
110,7,364,27,2
30,1,364,27,1
25,1,365,27,1
22,3,365,27,1
62,2,365,27,1
69,3,85,27,2
150,7,302,27,2
40,1,72,27,1
30,7,363,27,1
23,1,13,27,1
75,5,0,27,2
45,2,8,27,2
20,2,176,27,1
55,1,322,27,2
50,1,364,27,1
60,1,0,27,1
200,4,32,27,2
90,2,333,27,2
26,2,85,27,1
65,2,89,27,2
49,2,24,27,2
30,1,0,27,1
19,14,180,27,1
20,1,351,27,1
35,1,0,27,1
30,1,365,27,1
25,1,365,27,1
70,7,19,27,2
249,3,365,27,2
45,1,159,27,1
95,2,0,27,2
45,1,152,27,1
40,1,172,27,1
90,1,363,27,2
120,1,180,27,1
35,1,358,27,1
26,1,221,27,1
50,1,363,27,1
45,1,167,27,1
50,1,365,27,1
28,1,365,27,1
35,1,365,27,1
25,3,154,27,1
24,1,13,27,1
35,1,354,27,1
65,1,363,27,1
20,1,190,27,1
26,1,8,27,1
44,1,89,27,1
85,2,114,27,2
82,5,337,27,2
69,2,69,27,1
44,7,0,27,2
95,4,364,27,2
200,7,183,27,2
35,2,364,27,1
100,1,5,27,2
75,3,162,27,1
30,1,62,27,1
30,2,0,27,1
35,1,365,27,1
75,2,222,27,2
65,10,0,27,2
55,2,170,27,1
28,1,358,27,1
65,5,365,27,1
65,2,365,27,2
25,1,365,27,1
23,2,293,27,1
23,3,22,27,1
20,2,181,27,3
35,1,365,27,1
35,1,147,27,1
80,1,8,27,2
25,2,137,27,1
50,1,365,27,1
40,1,90,27,1
45,1,365,27,1
50,2,155,27,2
39,1,357,27,1
30,1,0,27,1
75,1,0,27,2
43,3,365,27,1
25,1,345,27,1
19,2,172,27,1
65,1,249,27,1
70,2,364,27,1
27,1,365,27,1
32,1,0,27,1
60,1,365,27,1
120,2,180,27,2
135,1,327,27,2
35,1,348,27,1
80,5,365,27,2
95,13,362,27,2
120,2,183,27,2
75,2,108,27,2
75,2,365,27,1
75,1,365,27,1
145,2,0,27,2
60,1,365,27,1
75,2,67,27,2
75,1,365,27,1
32,1,323,27,1
79,1,314,27,2
35,1,365,27,1
60,1,89,27,1
45,1,134,27,1
57,1,332,27,2
35,2,350,27,2
130,7,290,27,2
120,3,16,27,2
30,2,296,27,1
49,2,365,27,1
70,1,0,27,2
50,1,361,27,1
23,2,261,27,1
30,1,179,27,1
120,2,297,27,1
79,1,160,27,2
90,3,63,27,2
100,3,0,27,2
80,2,365,27,1
39,7,365,27,1
75,5,77,27,2
25,1,324,27,1
90,1,337,27,2
40,1,0,27,1
40,1,365,27,1
19,14,180,27,1
28,4,88,27,1
80,1,24,27,2
20,2,262,27,1
70,1,30,27,2
30,1,168,27,1
30,5,364,27,1
29,1,156,27,1
80,2,0,27,2
40,2,41,27,1
50,1,0,27,1
70,1,0,27,1
180,2,59,27,2
70,2,0,27,2
110,3,19,27,2
40,2,364,27,3
29,1,77,27,1
25,2,323,27,1
63,2,117,27,2
40,1,365,27,1
25,2,94,27,1
40,1,18,27,2
50,1,0,27,2
70,2,363,27,1
40,1,364,27,1
75,2,316,27,2
40,1,65,27,1
40,1,365,27,1
80,1,0,27,2
50,1,0,27,2
35,1,365,27,1
129,2,17,27,2
125,7,365,27,2
88,1,234,27,1
40,1,5,27,1
39,2,239,27,1
24,1,226,27,1
25,1,94,27,1
28,2,148,27,1
197,1,0,27,2
40,1,360,27,1
25,1,345,27,3
35,1,170,27,1
30,2,307,27,1
40,2,174,27,1
45,2,90,27,1
55,1,0,27,1
34,21,0,27,2
130,7,43,27,2
40,14,358,27,2
24,1,0,27,1
35,2,48,27,1
36,3,365,27,1
47,1,325,27,1
25,1,0,27,1
28,1,362,27,1
55,2,120,27,1
45,1,363,27,1
30,1,65,27,1
34,2,77,27,1
22,1,85,27,1
40,3,363,27,1
50,1,365,27,1
75,1,363,27,1
52,2,3,27,1
45,1,90,27,1
29,2,180,27,1
27,2,139,27,1
35,2,0,27,1
64,6,321,27,2
20,1,364,27,1
30,2,364,27,1
38,2,364,27,1
120,3,203,27,2
85,1,365,27,1
130,7,184,27,2
55,10,0,27,2
15,1,311,27,1
46,2,363,27,1
28,1,365,27,1
110,3,3,27,2
45,1,365,27,1
75,2,364,27,2
80,10,153,27,2
25,1,338,27,1
60,10,363,27,2
75,1,153,27,2
55,2,62,27,2
38,1,63,27,1
120,1,295,27,2
45,1,365,27,1
25,1,91,27,1
50,7,324,27,2
25,2,89,27,1
70,4,0,27,2
30,1,90,27,1
195,3,358,27,2
28,1,166,27,1
45,1,307,27,1
50,1,357,27,1
30,1,29,27,1
35,1,0,27,1
47,2,363,27,1
30,1,365,27,1
30,1,269,27,1
55,4,0,27,2
45,1,119,27,1
36,1,180,27,1
29,2,0,27,1
48,1,365,27,1
105,3,220,27,2
40,1,84,27,1
25,1,33,27,1
35,1,0,27,1
27,2,176,27,1
